City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Altona,DE,53.55,9.9333,43.0,75,40,19.57,scattered clouds
280,Cobija,BO,-11.0267,-68.7692,79.92,88,100,0.81,overcast clouds
281,Ruidoso,US,33.3317,-105.673,69.8,18,40,5.7,scattered clouds
282,Mahasamund,IN,21.1,82.1,79.25,13,0,5.59,clear sky
283,Jiwani,PK,25.05,61.7417,80.53,72,0,10.27,clear sky
284,San Jeronimo,PE,-11.9472,-75.2829,58.71,63,85,2.59,overcast clouds
285,Isangel,VU,-19.55,169.2667,77.92,71,27,17.34,scattered clouds
286,Bahia Blanca,AR,-38.7196,-62.2724,80.26,40,1,12.91,clear sky
287,Lagoa,PT,39.05,-27.9833,60.08,81,100,17.31,overcast clouds
288,Kjollefjord,NO,70.9457,27.3465,32.95,93,100,5.64,light snow
289,Enshi,CN,30.3,109.4833,50.92,95,100,0.69,light rain
290,Wattegama,LK,6.7989,81.4808,73.8,94,94,1.39,overcast clouds
291,Hirara,JP,24.8,125.2833,66.22,69,65,25.86,broken clouds
292,Puerto Rico,AR,-26.796,-55.024,78.26,58,100,2.39,light rain
293,Waipawa,NZ,-41.4122,175.5153,66.2,77,40,18.41,scattered clouds
294,Olinda,BR,-8.0089,-34.8553,80.6,74,40,6.91,scattered clouds
295,Gobabis,NA,-22.45,18.9667,73.74,34,4,8.55,clear sky
296,Garden City,US,42.3256,-83.331,71.6,32,20,9.22,few clouds
297,Samarai,PG,-10.6167,150.6667,82.47,79,49,6.8,scattered clouds
298,Russell,US,32.3502,-85.1999,73.4,23,1,6.15,clear sky
299,Coracao De Jesus,BR,-16.6853,-44.365,82.4,54,0,4.61,clear sky
300,Sechura,PE,-5.5569,-80.8222,79.9,62,30,13.85,scattered clouds
301,Mantua,IT,45.1667,10.7833,46.99,49,20,4.61,few clouds
302,Maceio,BR,-9.6658,-35.7353,77.0,94,40,2.3,scattered clouds
303,Robertsport,LR,6.7533,-11.3686,80.13,87,47,9.75,scattered clouds
304,Kiunga,PG,-6.1219,141.2906,71.44,96,87,1.39,overcast clouds
305,Inverell,AU,-29.7833,151.1167,62.01,95,100,1.01,overcast clouds
306,Mariestad,SE,58.7097,13.8237,41.0,87,90,19.57,overcast clouds
307,Barletta,IT,41.3118,16.2908,50.0,57,0,9.22,clear sky
308,Batemans Bay,AU,-35.7167,150.1833,66.99,88,89,1.01,overcast clouds
309,Avera,US,33.194,-82.5271,73.4,21,1,4.61,clear sky
310,Bend,US,44.0582,-121.3153,60.8,29,1,9.22,clear sky
311,La Asuncion,VE,11.0333,-63.8628,87.8,55,67,19.57,broken clouds
312,Lompoc,US,34.6391,-120.4579,64.4,52,73,16.11,broken clouds
313,Haines Junction,CA,60.7522,-137.5108,41.0,42,100,9.22,overcast clouds
314,Ivanteyevka,RU,55.9711,37.9208,37.4,64,0,11.18,clear sky
315,Mount Isa,AU,-20.7333,139.5,68.0,77,0,8.34,clear sky
316,Port Hedland,AU,-20.3167,118.5667,71.6,60,5,6.91,clear sky
317,Palatka,US,29.6486,-81.6376,73.0,42,2,4.81,clear sky
318,Kadrina,EE,59.3347,26.145,35.78,69,2,19.39,clear sky
319,Loksa,EE,59.5764,25.7214,39.2,75,90,21.85,overcast clouds
320,Lourdes,FR,43.1,-0.05,46.4,71,0,6.91,clear sky
321,Berdigestyakh,RU,62.0989,126.6992,-15.29,99,100,3.06,overcast clouds
322,Bonthe,SL,7.5264,-12.505,79.95,85,60,7.38,broken clouds
323,San Ciro De Acosta,MX,21.6333,-99.8167,77.34,34,100,13.85,overcast clouds
324,Shenzhen,CN,22.5455,114.0683,75.99,99,100,6.04,overcast clouds
325,Guayaramerin,BO,-10.8368,-65.3614,77.61,92,73,4.54,broken clouds
326,Harper,LR,4.375,-7.7169,79.57,86,49,5.44,light rain
327,Tiarei,PF,-17.5333,-149.3333,84.2,70,40,1.14,scattered clouds
328,Pangnirtung,CA,66.1451,-65.7125,10.4,67,20,5.75,few clouds
329,Cockburn Town,TC,21.4612,-71.1419,77.0,57,75,17.27,broken clouds
330,Juegang,CN,32.3174,121.1855,45.52,64,5,9.08,clear sky
331,Sioux Lookout,CA,50.1001,-91.917,55.4,28,75,8.05,broken clouds
332,Tongliao,CN,43.6125,122.2653,41.83,26,0,9.1,clear sky
333,Fallon,US,39.4735,-118.7774,77.0,10,75,4.43,broken clouds
334,Nola,IT,40.922,14.5329,51.01,43,0,8.05,clear sky
335,Marystown,CA,47.1666,-55.1483,43.66,92,100,17.94,overcast clouds
336,Shelburne,CA,44.0787,-80.2041,55.4,33,1,9.22,clear sky
337,Bilma,NE,18.6853,12.9164,77.67,9,0,7.38,clear sky
338,Tilichiki,RU,60.4667,166.1,11.91,91,100,15.37,light snow
339,Kuito,AO,-12.3833,16.9333,62.38,73,100,1.88,overcast clouds
340,Leshukonskoye,RU,64.8989,45.7622,28.53,91,89,8.46,overcast clouds
341,Shahrud,IR,36.4182,54.9763,49.37,38,89,5.01,overcast clouds
342,Vao,NC,-22.6667,167.4833,75.88,63,2,21.45,clear sky
343,Huambo,AO,-12.7761,15.7392,60.39,78,96,2.06,overcast clouds
